A	/阿/阿马米/蛾/峨/俄/娥/贺/我/芽/牙/雅/亚/娅/
A'Mer	/阿米尔/奥马尔/
Aab	/奥布/
Aaba	/阿巴/
Aabel	/奥贝尔/
Aabraek	/奥布赖克/
Aabrant	/阿布兰特/
Aaby	/奥比/
Aabye	/奥比/
Aach	/阿赫/
Aad	/阿德/
Aadahl	/奥达尔/
Aadalbert	/阿达尔贝特/
Aadasch	/阿达施/
Aadde	/奥德/
Aadel	/阿代勒/
Aadli	/奥德利/
Aadne	/奥德内/
Aadu	/阿杜/
Aae	/奥埃/
Aagaard	/埃格德/奥高/
Aage	/奥格/奥耶/
Aagje	/阿赫耶/
Aagot	/阿戈特/奥戈特/
Aague	/阿格/
Aahbshi	/阿卜希/
Aajav	/阿扎布/
Aakande	/奥坎德/
Aakenes	/奥克内斯/
Aakhus	/奥克许斯/
Aakjaer	/奥凯/
Aal	/阿尔/
Aalbano	/阿尔巴诺/
Aalberts	/奥尔贝茨/
Aalborg	/奥尔堡/
Aalefjaer	/奥勒菲耶尔/
Aalen	/奥伦/
Aalgaard	/奥尔高/
Aalim	/阿利姆/
Aalkjaer	/奥尔凯/
Aall	/奥尔/
Aalmo	/奥尔莫/
Aalrust	/奥尔鲁斯特/
Aalstad	/奥尔斯塔/
Aalto	/阿尔托/奥尔托/
Aaltoila	/阿尔托伊拉/
Aaltojarvi	/阿尔托耶维/
Aaltokoski	/阿尔托科斯基/
Aaltola	/阿尔托拉/
Aaltolahti	/阿尔托拉赫蒂/
Aaltomaa	/阿尔托马/
Aaltonen	/阿尔托宁/
Aalvik	/奥尔维克/
Aaly	/阿雷/
Aam	/奥姆/
Aama	/阿马/
Aamand	/奥曼/
Aamodt	/阿莫特/奥莫特/
Aamot	/奥莫特/
Aamuranta	/阿穆兰塔/
Aamurusko	/阿穆鲁斯科/
Aanaa	/阿纳/
Aandahl	/安达尔/
Aanerud	/奥内鲁德/
Aanesen	/奥内森/
Aang	/阿昂/
Aani	/阿尼/
Aanjesen	/奥尼耶森/
Aannecke	/安内克/
Aanni	/安尼/
Aano	/奥诺/
Aansel	/安泽尔/
Aansorge	/安佐格/
Aansprenger	/安斯普伦格/
Aant	/安特/
Aantaa	/安塔/
Aantjes	/安切斯/
Aanund	/奥农/
Aany	/阿尼/
Aapakari	/阿帕卡里/
Aapalahti	/阿帕拉赫蒂/
Aapasuo	/阿帕索/
Aapelt	/阿佩尔特/
Aapio	/阿皮奥/
Aapo	/阿波/
Aapola	/阿波拉/
Aapro	/阿普罗/
Aaqvist	/奥奎斯特/
Aara	/奥拉/
Aaraas	/奥罗斯/
Aarafi	/阿拉菲/
Aaraj	/阿拉杰/
Aarak	/奥拉克/
Aarao	/阿朗/
Aarbak	/奥尔巴克/
Aardal	/奥达尔/
Aardenne	/阿尔登纳/
Aare	/阿勒/阿雷/奥勒/
Aareharju	/阿雷哈留/
Aarek	/奥雷克/
Aarekorpi	/阿雷科皮/
Aarela	/阿雷拉/埃雷莱/
Aaremae	/奥雷梅埃/
Aarenstrup	/奥伦斯楚普/
Aaresalo	/阿雷萨洛/
Aarestad	/奥勒斯塔/
Aarestrup	/奥勒斯楚普/
Aarevaara	/阿雷瓦拉/
Aarevalta	/阿雷瓦尔塔/
Aarevuo	/阿雷沃/
Aarflot	/奥尔弗洛特/
Aari	/埃里/
Aariainen	/阿里艾宁/
Aarika	/阿里卡/
Aariki	/阿里基/
Aarikka	/阿里卡/
Aarila	/埃里莱/
Aarimaa	/埃里马/
Aario	/阿里奥/
Aarju	/阿尔久/
Aarmo	/阿尔莫/
Aarna	/阿尔纳/
Aarne	/阿尔内/
Aarnes	/奥尔内斯/
Aarni	/阿尔尼/
Aarnia	/阿尔尼亚/
Aarniaho	/阿尔尼亚霍/
Aarniala	/阿尔尼亚拉/
Aarniemi	/阿尔涅米/
Aarnikallio	/阿尔尼卡利奥/
Aarnikare	/阿尔尼卡雷/
Aarnikka	/阿尔尼卡/
Aarnikko	/阿尔尼科/
Aarnikoivu	/阿尔尼科伊武/
Aarnikorpi	/阿尔尼科皮/
Aarninsalo	/阿尔宁萨洛/
Aarnio	/阿尔尼奥/
Aarniokoski	/阿尼奥科斯基/
Aarniovuori	/阿尼奥沃里/
Aarnipalo	/阿尔尼帕洛/
Aarnipuu	/阿尔尼普/
Aarniva	/阿尔尼瓦/
Aarnivala	/阿尔尼瓦拉/
Aarnivirta	/阿尼维尔塔/
Aarnivuo	/阿尔尼沃/
Aarno	/阿尔诺/
Aarnount	/阿尔瑙特/
Aaro	/阿罗/
Aaroc	/奥勒克/
Aaroe	/奥勒埃/
Aarola	/阿罗拉/
Aaron	/阿龙/阿伦/
Aaronian	/阿罗尼安/
Aaronov	/阿罗诺夫/
Aaronovich	/阿罗诺维奇/
Aarons	/阿伦斯/
Aaronson	/阿龙松/阿伦森/
Aars	/阿尔斯/奥尔斯/
Aarsather	/奥尔塞特/
Aarseth	/奥塞特/
Aarskog	/奥斯科格/
Aarsse	/阿尔斯/
Aarstad	/奥尔斯塔/
Aarsten	/奥尔斯滕/
Aart	/阿尔特/
Aarted	/阿尔特德/
Aartelo	/阿尔泰洛/
Aarti	/阿尔蒂/
Aarto	/阿尔托/
Aartoaho	/阿尔托阿霍/
Aartola	/阿尔托拉/
Aartolahti	/阿尔托拉赫蒂/
Aartomaa	/阿尔托马/
Aarttamo	/阿尔塔莫/
Aarttila	/阿尔蒂拉/
Aarum	/奥鲁姆/
Aarva	/阿尔瓦/
Aarvala	/阿尔瓦拉/
Aarvik	/奥尔维克/
Aarvold	/阿沃尔德/
Aarynen	/埃吕宁/
Aas	/奥斯/
Aasa	/阿萨/奥莎/
Aasaki	/阿萨基/
Aasan	/奥桑/
Aasaroed	/奥萨勒德/
Aasbea	/奥斯贝亚/
Aasbo	/奥斯博/
Aase	/奥瑟/
Aasem	/阿西姆/
Aasen	/奥森/
Aaser	/奥瑟/
Aaseth	/奥塞特/
Aasgaard	/奥斯高/
